"id","Title","Name","Domain","BreachDate","AddedDate","ModifiedDate","PwnCount","DataClasses","IsVerified","IsFabricated","IsSensitive","IsActive","IsRetired","IsSpamList","LogoType"
135664815,"River City Media Spam List","RiverCityMedia","rivercitymediaonline.com","2017-01-01","2017-03-08T23:49:53Z","2017-03-08T23:49:53Z",393430309,"Email addresses, IP addresses, Names, Physical addresses",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"png"
355286483,"Bitcoin Security Forum Gmail Dump","BTSec","forum.btcsec.com","2014-01-09","2014-09-10T20:30:11Z","2014-09-10T20:30:11Z",4789599,"Email addresses, Passwords",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"svg"
355286483,"River City Media Spam List","RiverCityMedia","rivercitymediaonline.com","2017-01-01","2017-03-08T23:49:53Z","2017-03-08T23:49:53Z",393430309,"Email addresses, IP addresses, Names, Physical addresses",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"png"
355286483,"MySpace","MySpace","myspace.com","2008-07-01","2016-05-31T00:12:29Z","2016-05-31T00:12:29Z",359420698,"Email addresses, Passwords, Usernames",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"svg"
339141795,"River City Media Spam List","RiverCityMedia","rivercitymediaonline.com","2017-01-01","2017-03-08T23:49:53Z","2017-03-08T23:49:53Z",393430309,"Email addresses, IP addresses, Names, Physical addresses",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"png"
341961164,"CashCrate","CashCrate","cashcrate.com","2016-11-17","2018-04-20T21:40:38Z","2018-04-20T21:40:38Z",6844490,"Email addresses, Names, Passwords, Physical addresses",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"png"
374206867,"Modern Business Solutions","ModernBusinessSolutions","modbsolutions.com","2016-10-08","2016-10-12T09:09:11Z","2016-10-12T09:09:11Z",58843488,"Dates of birth, Email addresses, Genders, IP addresses, Job titles, Names, Phone numbers, Physical addresses",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"png"
374206867,"River City Media Spam List","RiverCityMedia","rivercitymediaonline.com","2017-01-01","2017-03-08T23:49:53Z","2017-03-08T23:49:53Z",393430309,"Email addresses, IP addresses, Names, Physical addresses",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"png"
135732386,"CashCrate","CashCrate","cashcrate.com","2016-11-17","2018-04-20T21:40:38Z","2018-04-20T21:40:38Z",6844490,"Email addresses, Names, Passwords, Physical addresses",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"png"
135732386,"Modern Business Solutions","ModernBusinessSolutions","modbsolutions.com","2016-10-08","2016-10-12T09:09:11Z","2016-10-12T09:09:11Z",58843488,"Dates of birth, Email addresses, Genders, IP addresses, Job titles, Names, Phone numbers, Physical addresses",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"png"
135732386,"MySpace","MySpace","myspace.com","2008-07-01","2016-05-31T00:12:29Z","2016-05-31T00:12:29Z",359420698,"Email addresses, Passwords, Usernames",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"svg"
135732386,"River City Media Spam List","RiverCityMedia","rivercitymediaonline.com","2017-01-01","2017-03-08T23:49:53Z","2017-03-08T23:49:53Z",393430309,"Email addresses, IP addresses, Names, Physical addresses",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"png"
135732386,"SC Daily Phone Spam List","SCDailyPhoneSpamList","data4marketers.com","2015-04-14","2016-11-24T06:04:34Z","2016-11-24T06:04:34Z",32939105,"Dates of birth, Email addresses, Genders, IP addresses, Names, Physical addresses",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"png"
286304948,"CashCrate","CashCrate","cashcrate.com","2016-11-17","2018-04-20T21:40:38Z","2018-04-20T21:40:38Z",6844490,"Email addresses, Names, Passwords, Physical addresses",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"png"
286304948,"River City Media Spam List","RiverCityMedia","rivercitymediaonline.com","2017-01-01","2017-03-08T23:49:53Z","2017-03-08T23:49:53Z",393430309,"Email addresses, IP addresses, Names, Physical addresses",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"png"
387233986,"River City Media Spam List","RiverCityMedia","rivercitymediaonline.com","2017-01-01","2017-03-08T23:49:53Z","2017-03-08T23:49:53Z",393430309,"Email addresses, IP addresses, Names, Physical addresses",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"png"
144741428,"Evony","Evony","evony.com","2016-06-01","2017-03-25T23:43:45Z","2017-03-25T23:43:45Z",29396116,"Email addresses, IP addresses, Passwords, Usernames",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"png"
